URL,image_urls,local_images,Election:,Party:,Constituency:,Mentions:,Issues Covered:,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://www.openelections.co.uk/leaflets/28302/,"['https://cdn.openelections.co.uk/uploads/2020/08/14527_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14527_2-768x1024.jpg']","['leaflet_images/28302/14527_1-768x1024.jpg', 'leaflet_images/28302/14527_2-768x1024.jpg']",2017 General Election,UK Independence Party,Folkestone and Hythe,Candidate,"Brexit/Europe, Economy, Environment, Health",,,
https://www.openelections.co.uk/leaflets/28311/,"['https://cdn.openelections.co.uk/uploads/2020/08/14531_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14531_2-768x1024.jpg']","['leaflet_images/28311/14531_1-768x1024.jpg', 'leaflet_images/28311/14531_2-768x1024.jpg']",2017 General Election,Conservative Party,Plymouth Sutton and Devonport,Other party/leader/candidate,"Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/2832/,['https://cdn.openelections.co.uk/uploads/2020/07/535_1-1024x724.jpg'],['leaflet_images/2832/535_1-1024x724.jpg'],2010 General Election,Liberal Democrats,Cheltenham,Candidate,"Economy, Environment, Governance, Health",,,
https://www.openelections.co.uk/leaflets/28332/,['https://cdn.openelections.co.uk/uploads/2020/08/14537_1-1024x722.jpg'],['leaflet_images/28332/14537_1-1024x722.jpg'],2017 General Election,Liberal Democrats,Brecon and Radnorshire,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Health, Social welfare",,,
https://www.openelections.co.uk/leaflets/28341/,['https://cdn.openelections.co.uk/uploads/2020/08/14541_1-722x1024.jpg'],['leaflet_images/28341/14541_1-722x1024.jpg'],2017 General Election,Labour Party,Brecon and Radnorshire,,"Education, Health, Social welfare",,,
https://www.openelections.co.uk/leaflets/28355/,"['https://cdn.openelections.co.uk/uploads/2020/08/14546_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14546_2-724x1024.jpg']","['leaflet_images/28355/14546_1-724x1024.jpg', 'leaflet_images/28355/14546_2-724x1024.jpg']",2017 General Election,Conservative Party,Poplar and Limehouse,"Candidate, Other party/leader/candidate","Economy, Education",,,
https://www.openelections.co.uk/leaflets/28363/,['https://cdn.openelections.co.uk/uploads/2020/08/14549_1-768x1024.jpg'],['leaflet_images/28363/14549_1-768x1024.jpg'],2017 General Election,Liberal Democrats,South Suffolk,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/2837/,['https://cdn.openelections.co.uk/uploads/2020/07/536_1-705x1024.jpg'],['leaflet_images/2837/536_1-705x1024.jpg'],2010 General Election,Conservative Party,Torridge and West Devon,Candidate,Economy,,,
https://www.openelections.co.uk/leaflets/28382/,"['https://cdn.openelections.co.uk/uploads/2020/08/14555_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14555_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14555_3-768x1024.jpg']","['leaflet_images/28382/14555_1-768x1024.jpg', 'leaflet_images/28382/14555_2-768x1024.jpg', 'leaflet_images/28382/14555_3-768x1024.jpg']",2017 General Election,Liberal Democrats,Bristol West,Other party/leader/candidate,"Economy, Education, Health, Social welfare",,,
https://www.openelections.co.uk/leaflets/28394/,"['https://cdn.openelections.co.uk/uploads/2020/08/14558_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14558_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14558_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14558_4-768x1024.jpg']","['leaflet_images/28394/14558_1-768x1024.jpg', 'leaflet_images/28394/14558_2-768x1024.jpg', 'leaflet_images/28394/14558_3-768x1024.jpg', 'leaflet_images/28394/14558_4-768x1024.jpg']",2017 General Election,Conservative Party,Northampton North,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health, Immigration, Social welfare",,,
https://www.openelections.co.uk/leaflets/2840/,"['https://cdn.openelections.co.uk/uploads/2020/07/537_1-715x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/537_2-715x1024.jpg']","['leaflet_images/2840/537_1-715x1024.jpg', 'leaflet_images/2840/537_2-715x1024.jpg']",2010 General Election,Liberal Democrats,Sheffield Hallam,"Candidate, Other party/leader/candidate, Party leader, Tactical situation","Economy, Environment",,,
https://www.openelections.co.uk/leaflets/28410/,['https://cdn.openelections.co.uk/uploads/2020/08/14563_1-757x1024.jpg'],['leaflet_images/28410/14563_1-757x1024.jpg'],2017 General Election,Liberal Democrats,Oxford West and Abingdon,Other party/leader/candidate,"Economy, Health",,,
https://www.openelections.co.uk/leaflets/28420/,['https://cdn.openelections.co.uk/uploads/2020/08/14566_1-649x1024.jpg'],['leaflet_images/28420/14566_1-649x1024.jpg'],2017 General Election,Conservative Party,Sittingbourne and Sheppey,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education",,,
https://www.openelections.co.uk/leaflets/2843/,['https://cdn.openelections.co.uk/uploads/2020/07/538_1-1024x725.jpg'],['leaflet_images/2843/538_1-1024x725.jpg'],2010 General Election,Liberal Democrats,Winchester,"Candidate, Tactical situation","Environment, Health",,,
https://www.openelections.co.uk/leaflets/28441/,"['https://cdn.openelections.co.uk/uploads/2020/08/14571_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14571_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14571_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14571_4-768x1024.jpg']","['leaflet_images/28441/14571_1-768x1024.jpg', 'leaflet_images/28441/14571_2-768x1024.jpg', 'leaflet_images/28441/14571_3-768x1024.jpg', 'leaflet_images/28441/14571_4-768x1024.jpg']",2017 General Election,Labour Party,City of Chester,"Candidate, Other party/leader/candidate","Economy, Education, Environment",,,
https://www.openelections.co.uk/leaflets/28454/,"['https://cdn.openelections.co.uk/uploads/2020/08/14577_1-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14577_2-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14577_3-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14577_4-1024x768.jpg']","['leaflet_images/28454/14577_1-1024x768.jpg', 'leaflet_images/28454/14577_2-1024x768.jpg', 'leaflet_images/28454/14577_3-1024x768.jpg', 'leaflet_images/28454/14577_4-1024x768.jpg']",2017 General Election,Conservative Party,North East Hertfordshire,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health",,,
https://www.openelections.co.uk/leaflets/28463/,['https://cdn.openelections.co.uk/uploads/2020/08/14580_1-691x1024.jpg'],['leaflet_images/28463/14580_1-691x1024.jpg'],2017 General Election,Liberal Democrats,Winchester,"Candidate, Tactical situation","Brexit/Europe, Economy, Education, Environment, Health, Social welfare",,,
https://www.openelections.co.uk/leaflets/28472/,['https://cdn.openelections.co.uk/uploads/2020/08/14583_1-730x1024.jpg'],['leaflet_images/28472/14583_1-730x1024.jpg'],2017 General Election,Green Party,Walthamstow,Candidate,"Brexit/Europe, Economy, Education, Environment, Governance, Health",,,
https://www.openelections.co.uk/leaflets/28484/,['https://cdn.openelections.co.uk/uploads/2020/08/14587_1-610x1024.jpg'],['leaflet_images/28484/14587_1-610x1024.jpg'],2017 General Election,Conservative Party,Carlisle,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
