URL,image_urls,local_images,Election:,Party:,Constituency:,Mentions:,Issues Covered:,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://www.openelections.co.uk/leaflets/28000/,"['https://cdn.openelections.co.uk/uploads/2020/08/14432_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14432_2-768x1024.jpg']","['leaflet_images/28000/14432_1-768x1024.jpg', 'leaflet_images/28000/14432_2-768x1024.jpg']",2017 General Election,Conservative Party,Nottingham South,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health, Immigration",,,
https://www.openelections.co.uk/leaflets/28016/,"['https://cdn.openelections.co.uk/uploads/2020/08/14435_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_4-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_5-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_6-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14435_7-768x1024.jpg']","['leaflet_images/28016/14435_1-768x1024.jpg', 'leaflet_images/28016/14435_2-768x1024.jpg', 'leaflet_images/28016/14435_3-768x1024.jpg', 'leaflet_images/28016/14435_4-768x1024.jpg', 'leaflet_images/28016/14435_5-768x1024.jpg', 'leaflet_images/28016/14435_6-768x1024.jpg', 'leaflet_images/28016/14435_7-768x1024.jpg']",2017 General Election,Conservative Party,Nottingham South,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health, Immigration",,,
https://www.openelections.co.uk/leaflets/28020/,"['https://cdn.openelections.co.uk/uploads/2020/08/14436_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14436_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14436_3-768x1024.jpg']","['leaflet_images/28020/14436_1-768x1024.jpg', 'leaflet_images/28020/14436_2-768x1024.jpg', 'leaflet_images/28020/14436_3-768x1024.jpg']",2017 General Election,Labour Party,Nottingham South,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/2803/,"['https://cdn.openelections.co.uk/uploads/2020/07/522_1-1024x724.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/522_2-1024x724.jpg']","['leaflet_images/2803/522_1-1024x724.jpg', 'leaflet_images/2803/522_2-1024x724.jpg']",2010 General Election,Liberal Democrats,Romsey and Southampton North,"Candidate, Other party/leader/candidate, Tactical situation","Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28040/,"['https://cdn.openelections.co.uk/uploads/2020/08/14442_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14442_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14442_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14442_4-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14442_5-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14442_6-768x1024.jpg']","['leaflet_images/28040/14442_1-768x1024.jpg', 'leaflet_images/28040/14442_2-768x1024.jpg', 'leaflet_images/28040/14442_3-768x1024.jpg', 'leaflet_images/28040/14442_4-768x1024.jpg', 'leaflet_images/28040/14442_5-768x1024.jpg', 'leaflet_images/28040/14442_6-768x1024.jpg']",2017 General Election,Liberal Democrats,York Outer,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28050/,"['https://cdn.openelections.co.uk/uploads/2020/08/14445_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14445_2-768x1024.jpg']","['leaflet_images/28050/14445_1-768x1024.jpg', 'leaflet_images/28050/14445_2-768x1024.jpg']",2017 General Election,Labour Party,Aberdeen North,"Candidate, Tactical situation",Economy,,,
https://www.openelections.co.uk/leaflets/28062/,"['https://cdn.openelections.co.uk/uploads/2020/08/14449_1-1024x574.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14449_2-1024x574.jpg']","['leaflet_images/28062/14449_1-1024x574.jpg', 'leaflet_images/28062/14449_2-1024x574.jpg']",2017 General Election,Liberal Democrats,Central Devon,"Candidate, Other party/leader/candidate, Tactical situation","Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28070/,"['https://cdn.openelections.co.uk/uploads/2020/08/14452_1-765x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14452_2-765x1024.jpg']","['leaflet_images/28070/14452_1-765x1024.jpg', 'leaflet_images/28070/14452_2-765x1024.jpg']",2017 General Election,Conservative Party,North East Somerset,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Immigration",,,
https://www.openelections.co.uk/leaflets/28083/,['https://cdn.openelections.co.uk/uploads/2020/08/14457_1-719x1024.jpg'],['leaflet_images/28083/14457_1-719x1024.jpg'],2017 General Election,Labour Party,North East Fife,Other party/leader/candidate,"Economy, Education, Governance, Health",,,
https://www.openelections.co.uk/leaflets/28091/,['https://cdn.openelections.co.uk/uploads/2020/08/14459_1-738x1024.jpg'],['leaflet_images/28091/14459_1-738x1024.jpg'],2017 General Election,Labour Party,Horsham,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Health, Social welfare",,,
https://www.openelections.co.uk/leaflets/28101/,"['https://cdn.openelections.co.uk/uploads/2020/08/14462_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14462_2-768x1024.jpg']","['leaflet_images/28101/14462_1-768x1024.jpg', 'leaflet_images/28101/14462_2-768x1024.jpg']",2017 General Election,Liberal Democrats,Horsham,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Health",,,
https://www.openelections.co.uk/leaflets/28112/,"['https://cdn.openelections.co.uk/uploads/2020/08/14468_1-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14468_2-1024x768.jpg']","['leaflet_images/28112/14468_1-1024x768.jpg', 'leaflet_images/28112/14468_2-1024x768.jpg']",2017 General Election,Green Party,Henley,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
https://www.openelections.co.uk/leaflets/2812/,"['https://cdn.openelections.co.uk/uploads/2020/07/526_1-1024x744.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/526_2-1024x744.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/526_3-1024x744.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/526_4-1024x744.jpg']","['leaflet_images/2812/526_1-1024x744.jpg', 'leaflet_images/2812/526_2-1024x744.jpg', 'leaflet_images/2812/526_3-1024x744.jpg', 'leaflet_images/2812/526_4-1024x744.jpg']",2010 General Election,Liberal Democrats,South Cambridgeshire,"Candidate, Other party/leader/candidate",Education,,,
https://www.openelections.co.uk/leaflets/28132/,"['https://cdn.openelections.co.uk/uploads/2020/08/14475_1-1024x768.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14475_2-1024x768.jpg']","['leaflet_images/28132/14475_1-1024x768.jpg', 'leaflet_images/28132/14475_2-1024x768.jpg']",2017 General Election,Liberal Democrats,Bermondsey and Old Southwark,"Other party/leader/candidate, Tactical situation",,,,
https://www.openelections.co.uk/leaflets/28145/,"['https://cdn.openelections.co.uk/uploads/2020/08/14479_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14479_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14479_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14479_4-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/14479_5-768x1024.jpg']","['leaflet_images/28145/14479_1-768x1024.jpg', 'leaflet_images/28145/14479_2-768x1024.jpg', 'leaflet_images/28145/14479_3-768x1024.jpg', 'leaflet_images/28145/14479_4-768x1024.jpg', 'leaflet_images/28145/14479_5-768x1024.jpg']",2017 General Election,Conservative Party,Burton,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Governance, Health",,,
https://www.openelections.co.uk/leaflets/2815/,"['https://cdn.openelections.co.uk/uploads/2020/07/527_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/07/527_2-724x1024.jpg']","['leaflet_images/2815/527_1-724x1024.jpg', 'leaflet_images/2815/527_2-724x1024.jpg']",2010 General Election,Conservative Party,Cheltenham,"Candidate, Other party/leader/candidate, Party leader","Education, Environment, Governance, Health",,,
https://www.openelections.co.uk/leaflets/28160/,['https://cdn.openelections.co.uk/uploads/2020/08/14484_1-711x1024.jpg'],['leaflet_images/28160/14484_1-711x1024.jpg'],2017 General Election,Green Party,Rutland and Melton,"Candidate, Party leader","Brexit/Europe, Education, Environment, Health",,,
